Date,Country,HomeCountry,Home,AwayCountry,Away,HomeGoals,AwayGoals,HomeExGoals,AwayExGoals,HFA,EloChange,HomeElo,AwayElo,HomeTilt,AwayTilt,HomeRank,AwayRank,day_name,period,day_type,stadium,stint_id,coach,start_date,end_date
21/08/1982,NED,NED,Breda,NED,Helmond Sport,4,2,1.742492199,0.787895083,104.0832748,5.407763004,1485.542236,1403.020264,0.981901348,1,,,Saturday,avondje_nac_bea,avondje_nac,beatrix_straat,42,Jo Jansen,22/01/1979,30/06/1983
30/03/2002,NED,NED,Breda,NED,De Graafschap,1,0,2.0970397,0.874137104,99.64463043,3.133993864,1552.270874,1432.942993,1.033486605,1.064791799,,,Saturday,avondje_nac_rat,avondje_nac,rat_verlegh,27,Henk ten Cate,01/07/2000,30/06/2003
26/11/2011,NED,NED,Breda,NED,Heerenveen,2,2,1.62341547,1.37790525,104.1911697,-1.224573493,1469.189087,1530.619629,1.087449551,1.247697115,,,Saturday,avondje_nac_rat,avondje_nac,rat_verlegh,19,John Karelse,01/07/2011,23/10/2012
10/11/1979,NED,NED,Breda,NED,Nijmegen,1,0,1.589397192,0.891754627,124.8074112,4.956975937,1455.281006,1451.743164,0.956520617,1.011094332,,,Saturday,avondje_nac_bea,avondje_nac,beatrix_straat,42,Jo Jansen,22/01/1979,30/06/1983
19/03/1977,NED,NED,Breda,NED,Venlo,2,1,1.769925356,0.793946266,119.002533,3.641875267,1509.538818,1431.65271,0.975127697,0.99894768,,,Saturday,avondje_nac_bea,avondje_nac,beatrix_straat,44,Bob Maaskant,01/07/1975,30/06/1977
18/08/2018,NED,NED,Breda,NED,De Graafschap,3,0,1.457417488,1.02645421,65.06759644,10.16559505,1308.553833,1282.165771,0.994387627,0.992345691,,,Saturday,avondje_nac_rat,avondje_nac,rat_verlegh,12,Mitchell van der Gaag,01/07/2018,18/03/2019
06/12/1980,NED,NED,Breda,NED,Excelsior,1,1,1.810293794,1.002566218,118.5718765,-3.587254763,1472.067871,1460.20459,1.039564848,1.136896849,,,Saturday,avondje_nac_bea,avondje_nac,beatrix_straat,42,Jo Jansen,22/01/1979,30/06/1983
17/05/1997,NED,NED,Breda,NED,Waalwijk,0,2,1.913223267,0.919086039,80.32027435,-17.36436081,1535.394775,1439.325928,1.132233143,1.022743464,,,Saturday,avondje_nac_rat,avondje_nac,rat_verlegh,31,Wim Rijsbergen,01/07/1995,30/06/1997
15/02/2025,NED,NED,Breda,NED,Feyenoord,0,0,0.801401377,2.666170597,60.60310745,7.253184319,1373.634888,1753.453857,1.021968603,1.154244304,,37,Saturday,avondje_nac_rat,avondje_nac,rat_verlegh,0,Carl Hoefkens,01/07/2024,31/12/2028
14/02/2009,NED,NED,Breda,NED,Roda,1,0,1.781109214,1.019086838,91.48722839,4.379075527,1480.45459,1417.563354,1.055197477,1.095778465,,,Saturday,avondje_nac_rat,avondje_nac,rat_verlegh,21,Robert Maaskant,01/07/2008,20/08/2010
26/02/1977,NED,NED,Breda,NED,Sparta Rotterdam,0,0,1.532434225,0.910447359,119.4883804,-2.934794426,1521.251343,1535.685791,0.993187487,0.967053592,,,Saturday,avondje_nac_bea,avondje_nac,beatrix_straat,44,Bob Maaskant,01/07/1975,30/06/1977
08/11/2014,NED,NED,Breda,NED,Alkmaar,0,1,1.269023061,1.334752798,85.29350281,-7.38966465,1361.130981,1465.936646,1.052769423,1.021995902,,,Saturday,avondje_nac_rat,avondje_nac,rat_verlegh,16,Eric Hellemons,13/10/2014,01/01/2015
16/09/2017,NED,NED,Breda,NED,Groningen,2,1,1.220405698,1.6161654,69.40010071,10.06428051,1259.696167,1407.950684,1.033065796,1.149225235,,,Saturday,avondje_nac_rat,avondje_nac,rat_verlegh,13,Stijn Vreven,01/01/2017,30/06/2018
19/11/2005,NED,NED,Breda,NED,Utrecht,0,1,1.456765532,1.19234705,76.25730896,-8.981905937,1474.432983,1513.820313,1.111242533,0.985535264,,,Saturday,avondje_nac_rat,avondje_nac,rat_verlegh,25,Mark Schenning,01/07/2005,30/06/2006
14/03/1998,NED,NED,Breda,NED,Twente,1,0,1.306403041,1.10180676,83.48894501,7.372870445,1516.475952,1571.558105,1.031080961,0.946389079,,,Saturday,avondje_nac_rat,avondje_nac,rat_verlegh,30,Herbert Neumann,01/07/1997,08/10/1998
25/04/1981,NED,NED,Breda,NED,Roda,1,0,1.669408321,1.337704778,112.196579,6.684864521,1474.60791,1541.16626,1.04497087,1.2360847,,,Saturday,avondje_nac_bea,avondje_nac,beatrix_straat,42,Jo Jansen,22/01/1979,30/06/1983
10/04/1982,NED,NED,Breda,NED,Ajax,0,4,1.348942161,2.201373577,101.8739243,-9.006875038,1507.719238,1734.721436,0.990551472,1.340068817,,24,Saturday,avondje_nac_bea,avondje_nac,beatrix_straat,42,Jo Jansen,22/01/1979,30/06/1983
03/11/2018,NED,NED,Breda,NED,Heracles,2,1,1.330374479,1.651015043,65.75640106,9.410064697,1296.650391,1423.056885,1.025854111,1.26624465,,,Saturday,avondje_nac_rat,avondje_nac,rat_verlegh,12,Mitchell van der Gaag,01/07/2018,18/03/2019
18/08/2001,NED,NED,Breda,NED,Utrecht,1,0,1.338072777,1.194564581,85.34490967,7.678598404,1462.402954,1535.818604,0.885202229,1.099865079,,,Saturday,avondje_nac_rat,avondje_nac,rat_verlegh,27,Henk ten Cate,01/07/2000,30/06/2003
