Date,Country,HomeCountry,Home,AwayCountry,Away,HomeGoals,AwayGoals,HomeExGoals,AwayExGoals,HFA,EloChange,HomeElo,AwayElo,HomeTilt,AwayTilt,HomeRank,AwayRank,day_name,period,day_type,stadium,stint_id,coach,start_date,end_date
1963-06-16,NED,NED,Breda,NED,Utrecht,2,0,1.81994640827,1.22692716122,67.5576934814,7.87904930115,1348.40820312,1329.06237793,1.02897667885,0.959390819073,,,Sunday,pre_avondje,sunday,beatrix_straat,50,Siem Plooijer,1961-07-01,1966-06-30
1982-08-21,NED,NED,Breda,NED,Helmond Sport,4,2,1.74249219894,0.787895083427,104.083274841,5.4077630043,1485.54223633,1403.02026367,0.981901347637,1.0,,,Saturday,avondje_nac_bea,avondje_nac,beatrix_straat,42,Jo Jansen,1979-01-22,1983-06-30
1973-02-11,NED,NED,Breda,NED,Feyenoord,0,5,0.89503544569,2.44091439247,109.843597412,-5.8387336731,1458.67736816,1813.48278809,1.01582610607,1.01980900764,,10.0,Sunday,pre_avondje,sunday,beatrix_straat,47,Ben Peeters,1971-07-01,1973-05-01
1971-09-26,NED,NED,Breda,NED,Twente,0,0,1.19558262825,1.63918042183,110.878242493,2.56860327721,1465.72229004,1667.88720703,1.0684350729,0.871036231518,,54.0,Sunday,pre_avondje,sunday,beatrix_straat,47,Ben Peeters,1971-07-01,1973-05-01
1970-01-25,NED,NED,Breda,NED,FC Amsterdam,2,0,1.71200466156,0.771928369999,107.457267761,5.41997385025,1472.56005859,1395.83215332,0.934464812279,0.912244975567,,,Sunday,pre_avondje,sunday,beatrix_straat,48,Leo Canjels,1968-04-09,1971-06-30
2002-03-30,NED,NED,Breda,NED,De Graafschap,1,0,2.09703969955,0.874137103558,99.6446304321,3.13399386406,1552.27087402,1432.94299316,1.03348660469,1.06479179859,,,Saturday,avondje_nac_rat,avondje_nac,rat_verlegh,27,Henk ten Cate,2000-07-01,2003-06-30
2008-02-24,NED,NED,Breda,NED,Ajax,2,3,1.34004068375,1.4581643343,86.4188079834,-6.98329591751,1516.54699707,1636.37304688,0.975881814957,1.22934317589,,91.0,Sunday,sunday_rat,sunday,rat_verlegh,22,Ernie Brandts,2006-07-01,2008-06-30
1995-08-27,NED,NED,Breda,NED,PSV,3,0,1.34731328487,2.0632455349,82.039894104,17.5957126617,1489.22546387,1672.99182129,1.19005024433,1.20907008648,,56.0,Sunday,sunday_bea,sunday,beatrix_straat,31,Wim Rijsbergen,1995-07-01,1997-06-30
2011-11-26,NED,NED,Breda,NED,Heerenveen,2,2,1.62341547012,1.3779052496,104.191169739,-1.224573493,1469.18908691,1530.61962891,1.08744955063,1.24769711494,,,Saturday,avondje_nac_rat,avondje_nac,rat_verlegh,19,John Karelse,2011-07-01,2012-10-23
1962-11-04,NED,NED,Breda,NED,Maastricht,4,2,1.76969516277,1.1262768507,78.7400741577,7.53985214233,1298.51281738,1276.66467285,0.960385322571,0.952894568443,,,Sunday,pre_avondje,sunday,beatrix_straat,50,Siem Plooijer,1961-07-01,1966-06-30
2011-01-30,NED,NED,Breda,NED,Ajax,0,3,1.16831338406,1.75476002693,101.64225769,-9.02843379974,1510.9576416,1719.39318848,1.08012413979,1.11936128139,,37.0,Sunday,sunday_rat,sunday,rat_verlegh,20,Gert Aandewiel,2010-08-21,2011-06-30
1972-11-26,NED,NED,Breda,NED,Maastricht,1,1,1.35872232914,1.05447363853,113.587112427,-1.48291051388,1451.15966797,1512.8425293,1.03035271168,0.904266417027,,,Sunday,pre_avondje,sunday,beatrix_straat,47,Ben Peeters,1971-07-01,1973-05-01
1979-11-10,NED,NED,Breda,NED,Nijmegen,1,0,1.589397192,0.891754627228,124.807411194,4.95697593689,1455.28100586,1451.74316406,0.956520617008,1.01109433174,,,Saturday,avondje_nac_bea,avondje_nac,beatrix_straat,42,Jo Jansen,1979-01-22,1983-06-30
1968-12-01,NED,NED,Breda,NED,Den Haag,0,1,1.16143596172,1.4231210947,108.856239319,-6.18657255173,1338.96411133,1513.66784668,0.853114187717,0.903308093548,,,Sunday,pre_avondje,sunday,beatrix_straat,48,Leo Canjels,1968-04-09,1971-06-30
1964-09-27,NED,NED,Breda,NED,Ajax,1,2,1.933629632,1.55733001232,67.0663299561,-8.3497428894,1379.03320312,1409.63989258,1.06372630596,1.13162994385,,,Sunday,pre_avondje,sunday,beatrix_straat,50,Siem Plooijer,1961-07-01,1966-06-30
1965-04-19,NED,NED,Breda,NED,Den Haag,0,1,1.6010402441,1.25275599957,59.7189331055,-8.80536079407,1375.91113281,1394.85192871,0.99194329977,0.939995765686,,,Monday,pre_avondje,sunday,beatrix_straat,50,Siem Plooijer,1961-07-01,1966-06-30
2014-08-24,NED,NED,Breda,NED,Twente,1,1,1.06905412674,1.60562217236,83.0504684448,3.20470786095,1371.62194824,1570.08068848,1.01573061943,1.02252185345,,,Sunday,sunday_rat,sunday,rat_verlegh,17,Nebojsa Gudelj,2012-11-21,2014-10-13
1964-10-18,NED,NED,Breda,NED,PSV,1,0,1.46310412884,2.05565929413,64.5566101074,9.83901405334,1372.91748047,1529.77770996,1.05981338024,1.05873441696,,,Sunday,pre_avondje,sunday,beatrix_straat,50,Siem Plooijer,1961-07-01,1966-06-30
1973-11-25,NED,NED,Breda,NED,FC Amsterdam,0,1,1.41539084911,1.31354010105,112.244606018,-7.679666996,1386.99450684,1500.11254883,1.07865309715,0.978376507759,,,Sunday,pre_avondje,sunday,beatrix_straat,46,Henk Wullems,1973-05-02,1974-11-28
2025-01-12,NED,NED,Breda,NED,Heerenveen,2,4,1.37155306339,1.28365397453,58.7691955566,-11.8230838776,1368.90209961,1418.42199707,0.984975934029,1.11977767944,,,Sunday,sunday_rat,sunday,rat_verlegh,0,Carl Hoefkens,2024-07-01,2028-12-31
1977-03-19,NED,NED,Breda,NED,Venlo,2,1,1.76992535591,0.793946266174,119.002532959,3.64187526703,1509.53881836,1431.65270996,0.975127696991,0.998947679996,,,Saturday,avondje_nac_bea,avondje_nac,beatrix_straat,44,Bob Maaskant,1975-07-01,1977-06-30
1968-09-22,NED,NED,Breda,NED,Holland Sport,2,0,1.71217215061,0.872009277344,102.017089844,6.11843347549,1331.30737305,1277.42358398,0.890288591385,0.978128969669,,,Sunday,pre_avondje,sunday,beatrix_straat,48,Leo Canjels,1968-04-09,1971-06-30
2018-08-18,NED,NED,Breda,NED,De Graafschap,3,0,1.4574174881,1.02645421028,65.0675964355,10.1655950546,1308.55383301,1282.16577148,0.994387626648,0.992345690727,,,Saturday,avondje_nac_rat,avondje_nac,rat_verlegh,12,Mitchell van der Gaag,2018-07-01,2019-03-18
1967-10-08,NED,NED,Breda,NED,Maastricht,1,1,1.71212208271,1.0065715313,84.678276062,-3.0610871315,1361.57775879,1336.38085938,0.92878651619,1.04158496857,,,Sunday,pre_avondje,sunday,beatrix_straat,49,Bob Janse,1966-07-01,1968-04-09
