Date,Country,HomeCountry,Home,AwayCountry,Away,HomeGoals,AwayGoals,HomeExGoals,AwayExGoals,HFA,EloChange,HomeElo,AwayElo,HomeTilt,AwayTilt,HomeRank,AwayRank,day_name,period,day_type,stadium,NACGoals,NACExGoals,OppGoals,OppExGoals,stint_id,coach,start_date,end_date
1982-08-25,NED,NED,Sittard,NED,Breda,1,0,1.32930064201,1.1698076725,103.507194519,7.50111484528,1409.39294434,1490.95007324,0.980000019073,1.00912284851,,,Wednesday,uit,uit,uit,0,1.1698076725,1,1.32930064201,42,Jo Jansen,1979-01-22,1983-06-30
1997-09-14,NED,NED,De Graafschap,NED,Breda,0,1,1.62868249416,1.13460755348,83.1658477783,-9.64582633972,1489.63745117,1499.75561523,1.07712984085,1.1125254631,,,Sunday,uit,uit,uit,1,1.13460755348,0,1.62868249416,30,Herbert Neumann,1997-07-01,1998-10-08
2013-08-25,NED,NED,Feyenoord,NED,Breda,3,1,2.05037403107,0.790863454342,82.2221679688,3.8542535305,1565.87084961,1396.87487793,1.05038666725,0.993800580502,,,Sunday,uit,uit,uit,1,0.790863454342,3,2.05037403107,17,Nebojsa Gudelj,2012-11-21,2014-10-13
1994-08-31,NED,NED,Breda,NED,Vitesse,0,0,1.33861398697,1.30888020992,85.9872970581,0.369232237339,1458.16259766,1556.98413086,1.12764632702,0.996418297291,,,Wednesday,weekday_bea,weekday,beatrix_straat,0,1.33861398697,0,1.30888020992,32,Ronald Spelbos,1993-01-01,1995-06-30
1979-05-12,NED,NED,PSV,NED,Breda,2,0,2.45875096321,0.613518595695,121.835372925,2.03141736984,1767.17370605,1522.23059082,0.926318705082,0.959846735001,17.0,,Saturday,uit,uit,uit,0,0.613518595695,2,2.45875096321,42,Jo Jansen,1979-01-22,1983-06-30
2014-08-24,NED,NED,Breda,NED,Twente,1,1,1.06905412674,1.60562217236,83.0504684448,3.20470786095,1371.62194824,1570.08068848,1.01573061943,1.02252185345,,,Sunday,sunday_rat,sunday,rat_verlegh,1,1.06905412674,1,1.60562217236,17,Nebojsa Gudelj,2012-11-21,2014-10-13
1979-05-05,NED,NED,Breda,NED,Alkmaar,2,3,1.2721041441,1.65010511875,121.744255066,-5.96042490005,1528.19104004,1719.01647949,0.947100281715,1.16023755074,,31.0,Saturday,avondje_nac_bea,avondje_nac,beatrix_straat,2,1.2721041441,3,1.65010511875,42,Jo Jansen,1979-01-22,1983-06-30
2004-05-09,NED,NED,Ajax,NED,Breda,2,0,2.38450789452,0.791417181492,89.863571167,2.88396453857,1751.5078125,1539.74133301,1.05392098427,1.05137896538,33.0,,Sunday,uit,uit,uit,0,0.791417181492,2,2.38450789452,26,Ton Lokhoff,2003-07-01,2005-12-30
1998-03-14,NED,NED,Breda,NED,Twente,1,0,1.30640304089,1.10180675983,83.4889450073,7.37287044525,1516.47595215,1571.55810547,1.03108096123,0.946389079094,,,Saturday,avondje_nac_rat,avondje_nac,rat_verlegh,1,1.30640304089,0,1.10180675983,30,Herbert Neumann,1997-07-01,1998-10-08
2007-09-16,NED,NED,Nijmegen,NED,Breda,0,1,1.54535758495,0.988352239132,82.7634735107,-11.1219415665,1472.59155273,1434.30834961,0.934065639973,1.13249456882,,,Sunday,uit,uit,uit,1,0.988352239132,0,1.54535758495,22,Ernie Brandts,2006-07-01,2008-06-30
1994-04-16,NED,NED,Sparta Rotterdam,NED,Breda,0,0,1.80182993412,1.2529528141,87.6577682495,-2.17799901962,1450.35913086,1461.11364746,1.27982866764,1.11676108837,,,Saturday,uit,uit,uit,0,1.2529528141,0,1.80182993412,32,Ronald Spelbos,1993-01-01,1995-06-30
