period,coach,n_matches,gf,ga,pts,start_date,end_date,coach_avg_GD_vs_xGD,period_p_value,day_type_p_value
all,Kees Zwamborn,9,16,15,9,1999-03-23,2000-06-30,1.0105146302125556,0.10946901477669095,0.10968546481800096
all,Jo Jansen,23,27,39,26,1974-11-29,1975-06-30,0.3901871987002174,0.20314856904710613,0.1981127486981131
all,Ronald Spelbos,68,115,112,92,1993-01-01,1995-06-30,0.35747822593223527,0.07431179647612468,0.07431179647612468
all,Henk ten Cate,102,138,123,155,2000-07-01,2003-06-30,0.278157021485598,0.032073610223980996,0.032073610223980996
all,Stijn Vreven,34,41,57,34,2017-01-01,2018-06-30,0.22689049384194118,0.44097562657656164,0.44097562657656164
all,Ernie Brandts,68,91,94,106,2006-07-01,2008-06-30,0.20521869817197058,0.22640589506269493,0.22640589506269493
all,Henk Wullems,49,60,100,41,1973-05-02,1974-11-28,0.12108535243569389,0.5002288329490883,0.48831036702909647
all,Carl Hoefkens,51,50,84,46,2024-07-01,2028-12-31,0.10830687658431376,0.4491081960358537,0.4491081960358537
all,Wim Rijsbergen,68,99,98,92,1995-07-01,1997-06-30,0.06476850632441179,0.6030449568869765,0.6030449568869765
all,Leo Canjels,108,136,170,127,1968-04-09,1971-06-30,0.03648300689710185,0.575379994593707,0.5523828687959805
all,Siem Plooijer,124,201,199,173,1961-07-01,1966-06-30,-0.02561373720267742,0.8936225614791775,0.876832495558242
all,Herbert Neumann,42,50,62,48,1997-07-01,1998-10-08,-0.03309009472557145,0.9533625303538202,0.9533625303538202
all,Robert Maaskant,17,20,31,15,2015-01-02,2015-10-06,-0.04269076796005886,0.987914870402267,0.987914870402267
all,Adrie Bogers,4,6,5,6,2012-10-23,2012-11-21,-0.07375504076200001,0.9834494187468169,0.9858513913953932
all,Bob Maaskant,68,67,106,82,1975-07-01,1977-06-30,-0.08541094292589703,0.8360125827468378,0.8360125827468378
all,John Karelse,43,50,74,43,2011-07-01,2012-10-23,-0.10186833559183725,0.8254860515711677,0.8254860515711677
all,Cees Lok,17,25,37,14,2006-01-02,2006-04-23,-0.10738110893041172,0.886741968059263,0.886741968059263
all,Nebojsa Gudelj,63,83,107,70,2012-11-21,2014-10-13,-0.11114572059593646,0.7834897514755856,0.7834897514755857
all,Mark Schenning,17,20,29,19,2005-07-01,2006-06-30,-0.12788144280076477,0.8096658106684008,0.8096658106684008
all,Jo Jansen,153,185,267,171,1979-01-22,1983-06-30,-0.1471029605735817,0.4532830303551254,0.4532830303551254
all,Ben Peeters,65,60,112,58,1971-07-01,1973-05-01,-0.19225189043964616,0.41128880831651715,0.4124144324341008
all,Bob Maaskant,34,35,68,26,1984-07-01,1986-06-30,-0.19966381963464702,0.59517726453742,0.59517726453742
all,Bob Janse,64,66,104,69,1966-07-01,1968-04-09,-0.20348978973909376,0.4288975756920883,0.4295086748582493
all,Robert Maaskant,77,102,116,108,2008-07-01,2010-08-20,-0.24456796243585716,0.3583346301481254,0.3583346301481254
all,Ruud Brood,8,6,12,6,2019-03-22,2019-12-31,-0.25784715264925,0.6438004053201001,0.6493179106465892
all,Hans Dorjee,51,55,83,57,1977-07-01,1979-06-30,-0.28647604526243137,0.24462811021303593,0.24462811021303593
all,Gert Aandewiel,32,42,56,40,2010-08-21,2011-06-30,-0.31867937929893747,0.3739609143267516,0.3739609143267516
all,Ton Lokhoff,69,101,127,81,2003-07-01,2005-12-30,-0.361778349980029,0.12110956159415653,0.12110956159415653
all,Ronald Spelbos,17,16,33,8,1998-10-13,1999-03-22,-0.6233545121020587,0.05299877049706303,0.05299877049706303
all,Eric Hellemons,9,5,15,5,2014-10-13,2015-01-01,-0.6599423951555554,0.32656632669204916,0.32554467259006153
all,Mitchell van der Gaag,26,23,62,17,2018-07-01,2019-03-18,-0.7078876311957306,0.057396529058019806,0.057396529058019806
avondje_nac_bea,Bob Maaskant,20,27,13,41,1975-07-01,1977-06-30,0.42981317937435,0.07990857527075311,0.06483017610201078
avondje_nac_bea,Bob Maaskant,13,16,14,16,1984-07-01,1986-06-30,0.3637240024714617,0.41116417258475146,0.35855032841628764
avondje_nac_bea,Wim Rijsbergen,9,18,8,17,1995-07-01,1997-06-30,0.3573398192723334,0.5690112146721822,0.5326383503858046
avondje_nac_bea,Jo Jansen,66,96,78,103,1979-01-22,1983-06-30,0.05066454500969698,0.8586158293402799,0.6526139661155583
avondje_nac_bea,Ronald Spelbos,21,38,37,27,1993-01-01,1995-06-30,-0.31832492351533337,0.3646370462901928,0.4920465962119357
avondje_nac_bea,Hans Dorjee,19,25,26,30,1977-07-01,1979-06-30,-0.4783724107229473,0.07791778416628042,0.14594393665518401
avondje_nac_rat,Kees Zwamborn,2,5,0,4,1999-03-23,2000-06-30,2.5177024602899998,0.42144209336684946,0.42875721165654124
avondje_nac_rat,Carl Hoefkens,14,15,13,22,2024-07-01,2028-12-31,0.6961030023430715,0.012242096397449512,0.020751783301030162
avondje_nac_rat,Gert Aandewiel,9,16,8,19,2010-08-21,2011-06-30,0.3337485194212222,0.3991041706682239,0.4637811820342246
avondje_nac_rat,Ronald Spelbos,3,5,3,5,1998-10-13,1999-03-22,0.3094504475606667,0.5081723286689658,0.5590622913594616
avondje_nac_rat,Herbert Neumann,9,15,7,18,1997-07-01,1998-10-08,0.29722454812722227,0.5328515987763782,0.5935463899413319
avondje_nac_rat,Henk ten Cate,26,41,21,49,2000-07-01,2003-06-30,0.2833027816746155,0.18845584835302415,0.28451241228280266
avondje_nac_rat,Robert Maaskant,18,32,18,40,2008-07-01,2010-08-20,0.1987465090219444,0.4232912862614989,0.5257294220133857
avondje_nac_rat,Mitchell van der Gaag,8,9,14,10,2018-07-01,2019-03-18,-0.0015897676348751166,0.9136405858502252,0.9665419676785725
avondje_nac_rat,John Karelse,11,13,13,14,2011-07-01,2012-10-23,-0.13891531120763637,0.9014552577846449,0.8241253719329099
avondje_nac_rat,Ernie Brandts,17,22,18,30,2006-07-01,2008-06-30,-0.2055271478262352,0.7482030462382109,0.66935659002039
avondje_nac_rat,Nebojsa Gudelj,18,26,28,24,2012-11-21,2014-10-13,-0.30581596493744445,0.5755310101508069,0.5162783870402902
avondje_nac_rat,Stijn Vreven,9,9,18,12,2017-01-01,2018-06-30,-0.4352520174454444,0.6949024514010561,0.663097300149876
